config,seed,success,solvable,confusion_ratio,confusion_index,path_optimal,tile_prior_kl,graph_edit_distance,generation_time_sec,novelty,reconstruction_error,constraint_valid,room_repair_rate,tiles_repaired,topology_representable_edge_rate,topology_edge_connection_recall,topology_phantom_connection_rate,topology_preservation_score,directed_representable_edge_rate,directed_edge_realization_rate,directed_directionality_leak_rate,directed_edge_preservation_score,error
FULL,42,True,False,,0.0,0.0,13.830662412449545,0.21034090909090908,19.9349262714386,0.02818669512426208,0.0,1.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.6,0.0,0.0,0.0,0.0,
FULL,43,True,False,,0.0,0.0,13.582111728048627,0.20850267379679144,16.0659818649292,0.1560308445333468,0.0,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,44,True,False,,0.0,0.0,13.830703649923814,0.21034090909090908,16.367838621139526,0.028938972824517812,0.0,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0625,1.0,0.0,1.0,
FULL,45,True,False,,0.0,0.0,13.436777442163121,0.20850267379679144,15.980854749679565,0.16960635345293312,0.0,1.0,0.0,0.0,0.4444444444444444,1.0,0.0,0.75,0.0625,1.0,0.0,1.0,
FULL,46,True,False,,0.0,0.0,13.582111728048627,0.20850267379679144,15.986120462417603,0.02824658322013872,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.7,0.0,0.0,0.0,0.0,
FULL,47,True,False,,0.0,0.0,13.7405686959489,0.20850267379679144,16.211472511291504,0.05020928245345841,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.7,0.0625,1.0,0.0,1.0,
FULL,48,True,False,,0.0,0.0,13.885941477896546,0.20850267379679144,15.902198553085327,0.029331784064027682,0.0,1.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.6,0.0,0.0,0.0,0.0,
FULL,49,True,False,,0.0,0.0,13.740542200161245,0.20850267379679144,15.771922826766968,0.04640930799637594,0.0,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,50,True,False,,0.0,0.0,13.727501186595513,0.20850267379679144,15.753174781799316,0.06298327837440672,0.0,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,51,True,False,,0.0,0.0,13.381492483165086,0.21034090909090908,16.146541118621826,0.034735329556496226,0.0,1.0,0.0,0.0,0.4444444444444444,1.0,0.0,0.75,0.0625,1.0,0.0,1.0,
FULL,52,True,False,,0.0,0.0,13.637384901536455,0.20850267379679144,16.159494161605835,0.024868282209987505,0.0,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,53,True,False,,0.0,0.0,13.830703649923814,0.2124242424242424,15.959284782409668,0.028938972824517812,0.0,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0625,1.0,0.0,1.0,
